Item Description-original,Item Description - cleaned,Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value,Reduced Price Value (%),Request to Status Duration (Days),Grant Pricing
WATER PURIFICATION EQUIPMENT,WATER PURIFICATION EQUIPMENT,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
HAND AND MEASURING TOOLS,HAND AND MEASURING TOOLS,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
PREFABRICATED STRUCTURES AND SCAFFOLDING,Prefabricated Structures and Scaffolding,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
COMMUNICATION EQUIPMENT,COMMUNICATION EQUIPMENT,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
ELECTRICAL WIRE AND POWER DISTRIBUTION EQUIPMENT,ELECTRICAL WIRE AND POWER DISTRIBUTION EQUIPMENT,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
"MEDICAL, DENTAL , VET EQUIP AND SUPPLIES","MEDICAL, DENTAL, & VET EQUIP & SUPPLIES",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
INSTRUMENTS AND LABORATORY EQUIPMENT,INSTRUMENTS AND LABORATORY EQUIPMENT,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
ADP EQUIPMENT,ADP EQUIPMENT,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
FURNITURE,FURNITURE,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
HOUSEHOLD/COMMERCIAL FURNISHINGS AND APPLIANCES,HOUSEHOLD/COMMERCIAL FURNISHINGS/APPLIANCES,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
FOOD PREPARATION AND SERVING EQUIPMENT,FOOD PREPARATION AND SERVING EQUIPMENT,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
OFFICE SUPPLIES AND DEVICES,OFFICE SUPPLIES AND DEVICES,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
"CONTAINERS, PACKAGING, AND PACKING SUPPLIES","CONTAINERS, PACKAGING, AND PACKING SUPPLIES",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
"TEXTILES, LEATHER, APPAREL AND TENTS","TEXTILES, LEATHER, APPAREL AND TENTS",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
CLOTHING AND INDIVIDUAL EQUIPMENT,CLOTHING AND INDIVIDUAL EQUIPMENT,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Nigeria,Service Authorized to Supply EDA,9/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,253,17999.99983
"ADP EQUIPMENT, SOFTWARE/SUPPLIES/SUPPORT EQUIP","ADP EQUIPMENT, SOFTWARE, SUPPLIES AND SUPPORT EQUIPMENT",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,0,0,0,0,0,1380262,690131,-50.00%,637,70393.362
MAINTENANCE & REPAIR SHOP EQUIPMENT,MAINTENANCE & REPAIR SHOP EQUIPMENT,Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,0,0,0,0,0,128683.55,25736.71,-80.00%,1003,5327.49897
COMMUNICATIONS EQUIP/ELECTRICAL COMPONENTS,"Communications Equipment, Electrical & Electronic Equipment Components",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,0,0,0,0,0,54579.19,10915.84,-80.00%,1003,2259.57853
MED/DENTAL/VETERINARY EQUIP/INSTRUMENTS/LAB,MED/DENTAL/VETERINARY EQUIP/INSTRUMENTS/LAB,Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,0,0,0,0,0,10512.28,2102.46,-80.00%,1003,435.20852
"OFFICE MACHINES, SUPPLIES & DEVICES","OFFICE MACHINES, SUPPLIES & DEVICES",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,0,0,0,0,0,1548.94,309.79,-80.00%,1003,64.12618
"FIRE CONTROL EQUIPMENT, PARTS AND COMPONENTS","FIRE CONTROL EQUIPMENT, PARTS AND COMPONENTS",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,0,0,0,0,0,580600.97,116120.19,-80.00%,1003,24036.88003
MAINTENANCE/REPAIR/MEASURING TOOLS & SHOP EQUIPMEN,"PERSONAL GEAR, CLOTHING & EQUIPMENT",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Niger,EDA Delivered,9/30/2014,0,0,0,0,0,93972.4,28191.72,-70.00%,1003,4191.16904
"PIPE, TUBING, HOSE, AND FITTINGS","PIPE, TUBING, HOSE, AND FITTINGS",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Uganda,EDA Delivered,9/30/2014,0,0,0,0,0,216621.31,64986.39,-70.00%,1003,9661.31033
CLOTHING AND INDIVIDUAL EQUIPMENT,CLOTHING AND INDIVIDUAL EQUIPMENT,Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Uganda,EDA Delivered,9/30/2014,0,0,0,0,0,216621.31,64986.39,-70.00%,1003,9661.31033
FURNITURE,FURNITURE,Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Uganda,EDA Delivered,9/30/2014,0,0,0,0,0,216621.31,64986.39,-70.00%,1003,9661.31033
ADP / IT EQUIPMENT AND SUPPLIES,ADP / IT EQUIPMENT AND SUPPLIES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,9/30/2014,0,0,0,0,0,41456.14,12436.84,-70.00%,1733,1848.94378
"TEXTILES, CLOTHING, PERSONAL GEAR AND EQUIPMENT","TEXTILES, CLOTHING, PERSONAL GEAR AND EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,9/30/2014,0,0,0,0,0,41456.14,12436.84,-70.00%,1733,1848.94378
"MEDICAL/DENTAL/LAB INSTRUMENTS, EQUIP/SUPPLIES","MEDICAL, DENTAL, LAB EQP, INSTRMNTS & SUPPLIES",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,9/30/2014,0,0,0,0,0,41456.14,12436.84,-70.00%,1733,1848.94378
MAINT/REPAIR/MEASURING TOOLS AND SHOP EQUIP,MAINT/REPAIR/MEASURING TOOLS AND SHOP EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,9/30/2014,0,0,0,0,0,41456.14,12436.84,-70.00%,1733,1848.94378
ELECRTICAL EQUIPMENT AND COMPONENTS,ELECTRICAL AND ELECTRONIC EQUIPMENT AND COMPONENTS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,9/30/2014,0,0,0,0,0,41456.14,12436.84,-70.00%,1733,1848.94378
"ENGINES, TURBINES, COMPONENTS AND ACCESSORIES","ENGINES, TURBINES, COMPONENTS AND ACCESSORIES",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,9/30/2014,0,0,0,0,0,41456.14,12436.84,-70.00%,1733,1848.94378
"WEAPONS PARTS, CAMO EQUIPMENT","WEAPONS PARTS, CAMO EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,0,0,0,0,0,315911,63182,-80.00%,1733,13078.709
VEHICULAR SUPPORT EQUIPMENT,VEHICULAR EQUIPMENT COMPONENTS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,0,0,0,0,0,7581864,1516373,-80.00%,1733,313889.176
VEHICULAR PARTS & COMPONENTS,VEHICULAR PARTS & COMPONENTS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,0,0,0,0,0,22240133,4448027,-80.00%,1733,920741.519
"TRUCK UTILITY, HMMWV, M998A1","TRUCK UTILITY, HMMWV, M998A1",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,1,1,1,0,1,44722,13416.6,-70.00%,272,1994.6012
"TRUCK UTILITY, HMMWV, M1026 ARMORED","TRUCK, UTILITY, HMMWV, M1026 ARMORED",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,1,1,1,0,1,47989,9597.8,-80.00%,272,1986.7446
"TRUCK, UTILITY, ARMAMENT CARRIER, ARMORED, HMMWV","TRUCK, UTILITY, ARMAMENT CARRIER, ARMORED, HMMWV",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2014,1,1,1,0,1,47989,9597.8,-80.00%,272,1986.7446
"TRUCK, UTILITY, HMMWV, 1 1/4 TON ARMORED","TRUCK, UTILITY, HMMWV, 1 1/4 TON ARMORED",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2014,1,1,1,0,1,47989,9597.8,-80.00%,272,1986.7446
"TRUCK CARGO, 1 1/4 TON","TRUCK CARGO, 1 1/4 TON",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,14141,1414.1,-90.00%,637,540.1862
"TRUCK CARGO, 1 1/4 TON","TRUCK CARGO, 1 1/4 TON",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,15751,1575.1,-90.00%,637,601.6882
"TRUCK, TRACTOR","TRUCK, TRACTOR",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,69310,6931,-90.00%,637,2647.642
"TRUCK, TRACTOR, 5T","TRUCK, TRACTOR, 5T",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,86203,17240.6,-80.00%,637,3568.8042
"TRUCK, CARGO, DPSD, 5T","TRUCK, CARGO, DPSD, 5T",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,85946,8594.6,-90.00%,637,3283.1372
"TRUCK UTILITY, HMMWV","TRUCK UTILITY, HMMWV",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,84297,8429.7,-90.00%,637,3220.1454
"TRUCK, FIRE FIGHTING","TRUCK, FIRE FIGHTING",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,169108.34,16910.83,-90.00%,637,6459.93846
"TRUCK, LIFT, FORK","TRUCK, LIFT, FORK",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,57018.12,5701.81,-90.00%,637,2178.09212
"TRUCK, LIFT, FORK","TRUCK, LIFT, FORK",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,75000,7500,-90.00%,637,2865
"TRUCK, LIFT, FORK","TRUCK, LIFT, FORK",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,10884,1088.4,-90.00%,637,415.7688
"TRUCK, LIFT, FORK","TRUCK, LIFT, FORK",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,72370,7237,-90.00%,637,2764.534
"TRUCK, CARGO, PICKUP","TRUCK, CARGO, PICKUP",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,1,1,1,0,1,63000,6300,-90.00%,637,2406.6
TRAILER CARGO 1.5 TON M105A2,TRAILER CARGO 1.5 TON M105A2,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,1,1,1,0,1,8524,4262,-50.00%,637,434.724
TRUCK UTILITY HMMWV,"TRUCK UTILITY, HMMWV",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,1,1,1,0,1,36076,7215.2,-80.00%,637,1493.5464
"SWEEPER, ROTARY, TOWED","SWEEPER, ROTARY, TOWED",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,1,1,1,0,1,4956.51,495.65,-90.00%,1003,189.33865
"SWEEPER, ROTARY, SELF-PROPELLED","SWEEPER, ROTARY, SELF-PROPELLED",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,1,1,1,0,1,114069,45627.6,-60.00%,1003,5452.4982
"TRUCK, UTILITY, UP-ARMORED","TRUCK, UTILITY, UP-ARMORED",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,1,1,1,0,1,188000,18800,-90.00%,1003,7181.6
TRUCK VAN 5T EXP M934,TRUCK VAN 5T EXP M934,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,2,2,2,0,2,270244,54048.8,-80.00%,272,11188.1016
"TRUCK UTILITY, HMMWV, M1025","TRUCK UTILITY, HMMWV, M1025",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,2,2,2,0,2,95978,28793.4,-70.00%,272,4280.6188
"TRAILER CARGO, 1 1/2 TON","TRAILER CARGO, 1 1/2 TON",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,2,2,2,0,2,17048,1704.8,-90.00%,637,651.2336
TOYOTA RUNNER TRUCK,TOYOTA RUNNER TRUCK,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,2,2,2,0,2,42000,4200,-90.00%,637,1604.4
"TRUCK, TRACTOR, 5T","TRUCK, TRACTOR, 5T",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,2,2,2,0,2,149668,29933.6,-80.00%,637,6196.2552
ENGINE DIESEL,ENGINE DIESEL,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,2,2,2,0,2,58814,11762.8,-80.00%,637,2434.8996
"TRUCK, UTILITY, HMMWV, 1 1/4 TON ARMORED","TRUCK, UTILITY, HMMWV, 1 1/4 TON ARMORED",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,2,2,2,0,2,79036,15807.2,-80.00%,637,3272.0904
"TRUCK, UTILITY, HMMWV, 1 1/4 TON ARMORED","TRUCK, UTILITY, HMMWV, 1 1/4 TON ARMORED",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,2,2,2,0,2,76992,23097.6,-70.00%,1003,3433.8432
"TRUCK UTILITY, 4X4 S250 W/O WINCH","TRUCK UTILITY, 4X4 S250 W/O WINCH",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,2,2,1,0,1,73864,3693.2,-95.00%,1003,2703.4224
"TRUCK UTILITY, HMMWV, 1 1/4 T","TRUCK UTILITY, HMMWV, 1 1/4 T",FMS Sales,1/1/2013,Defense Logistics Agency (DLA),Argentina,EDA Delivered,9/30/2014,3,3,3,0,3,117156,58578,-50.00%,637,5974.956
"TRUCK, UTILITY, HMMWV","TRUCK UTILITY, HMMWV",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,4,4,4,0,4,241636,120818,-50.00%,637,12323.436
"TRUCK, UTILITY, ARMAMENT CARRIER, ARMORED, HMMWV","TRUCK, UTILITY, ARMAMENT CARRIER, ARMORED, HMMWV",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2014,5,5,5,0,5,297810,59562,-80.00%,272,12329.334
"HELMET, COMBAT VEHICLE CREWMAN'S, SMALL","HELMET, COMBAT VEHICLE CREWMAN'S, SMALL",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,5,5,5,0,5,3135.05,156.75,-95.00%,1003,114.74275
"CHASSIS, SEMI-TRAILER","CHASSIS, SEMI-TRAILER",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,9/30/2014,7,7,4,0,4,15316,1531.6,-90.00%,637,585.0712
"HELMET, ADVANCED COMBAT, GREEN. LARGE","HELMET, ADVANCED COMBAT, GREEN. LARGE",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,7,7,7,0,7,1544.27,77.21,-95.00%,1003,56.52017
"TRUCK UTILITY, HMMWV","TRUCK UTILITY, HMMWV",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,8,8,8,0,8,620176,310088,-50.00%,637,31628.976
TRAILER CARGO 1.4 TON XM1102,TRAILER CARGO 1.4 TON XM1102,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,9,9,9,0,9,80586,16117.2,-80.00%,637,3336.2604
"TRUCK UTILITY, HMMWV, 1 1/4 T","TRUCK UTILITY, HMMWV, 1 1/4 T",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,9,9,9,0,5,312615,62523,-80.00%,637,12942.261
MOUNT TRIPOD MACHINE GUN,MOUNT TRIPOD MACHINE GUN,Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,9,9,9,0,9,5571,278.55,-95.00%,1003,203.8986
"TRUCK, UTILITY, HMMWV","TRUCK UTILITY, HMMWV",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2014,12,12,12,0,12,468624,93724.8,-80.00%,272,19401.0336
"TRUCK, UTILITY, HMMWV, 1 1/4 TON, M1025","HMMWV TRUCK, UTILITY 1 1/4 TON, M1025",FMS Sales,1/1/2013,Defense Logistics Agency (DLA),Argentina,EDA Delivered,9/30/2014,12,12,12,0,12,575868,172760.4,-70.00%,637,25683.7128
"TRUCK UTILITY, HMMWV, 1 1/4 T [M998]","TRUCK UTILITY, HMMWV, 1 1/4 T, M998",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,14,14,14,0,18,546728,164018.4,-70.00%,272,24384.0688
"TRUCK UTILITY, HMMWV, 1 1/4 T","TRUCK UTILITY, HMMWV, 1 1/4 T",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,16,16,9,0,9,555760,166728,-70.00%,1003,24786.896
"HELMET, COMBAT VEHICLE CREWMAN'S, LARGE","HELMET, COMBAT VEHICLE CREWMAN'S, LARGE",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,17,17,16,0,16,10659.17,532.96,-95.00%,1003,390.12567
"TRUCK UTILITY, HMMWV, M1043A2","TRUCK UTILITY, HMMWV, M1043A2",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,20,20,20,0,20,1550440,310088,-80.00%,272,64188.216
"TRUCK UTILITY, HMMWV, 1 1/4 T","TRUCK UTILITY, HMMWV, 1 1/4 T",FMS Sales,1/1/2013,Defense Logistics Agency (DLA),Argentina,EDA Delivered,9/30/2014,20,20,20,0,20,781040,234312,-70.00%,637,34834.384
"TRUCK, UTILITY, HMMWV, 1 1/4 TON M1025","HMMWV TRUCK, UTILITY 1 1/4 TON, M1025",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,21,21,21,0,21,808416,161683.2,-80.00%,637,33468.4224
"TRUCK UTILITY, HMMWV, M998A1","TRUCK UTILITY, HMMWV, M998A1",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2014,23,23,23,0,23,1028606,205721.2,-80.00%,272,42584.2884
"TRUCK, TRACTOR","TRUCK, TRACTOR",FMS Sales,1/1/2013,Defense Logistics Agency (DLA),Argentina,EDA Delivered,9/30/2014,30,30,30,0,30,2586090,1293045,-50.00%,637,131890.59
FIRST GENERATION NAVIGATION PODS (LANTIRN),FIRST GENERATION NAVIGATION PODS (LANTIRN),Grant Authority,1/1/2012,Air Force,Israel,EDA Delivered,9/30/2014,50,50,50,0,50,279112077,84793900,-69.62%,1003,12482327.5
"HELMET, COMBAT VEHICLE CREWMAN'S, MEDIUM","HELMET, COMBAT VEHICLE CREWMAN'S, MEDIUM",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,1130,1130,12,0,12,708521.3,354260.65,-50.00%,1003,36134.5863
HELMET COMBAT VEHIC,"VEHICLE, COMBAT, ITV",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,1130,1130,1130,0,1130,738048.2,295219.28,-60.00%,1003,35278.70396
"BARREL AND FRONT SIGHT (End Item: CARBINE,5.56 MM)","BARREL AND FRONT SIGHT (End Item: CARBINE,5.56 MM)",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,2583,2583,2583,0,2538,989753.94,494876.97,-50.00%,1003,50477.45094
"ADP EQUIP/SOFTWARE, SUPPLIES AND SUPPORT EQUIP","ADP EQUIP/SOFTWARE, SUPPLIES AND SUPPORT EQUIP",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,-999,None,-999,-999,-999,76459.61,38229.81,-50.00%,1003,3899.44027
"ACRFT LAUNCH, LAND, & GROUND HANDLG EQUIP",AIRCRAFT LAUNCHING/LANDING/GROUND HANDLING EQUIP,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,-999,None,-999,-999,-999,113482.16,34044.65,-70.00%,1733,5061.3044
"ELETRCL, ELECTRNC & FIBER OPTIC EQP, PRTS & COMPTS","ELETRCL, ELECTRNC & FIBER OPTIC EQP, PRTS & COMPTS",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,-999,None,-999,-999,-999,3971875.74,1191562.72,-70.00%,1733,177145.6579
"ENGINES, TURBINES, COMPNTS & ACCESSORIES","ENGINES, TURBINES, PARTS, COMPONENTS & ACCESSORIES",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,-999,None,-999,-999,-999,680892.98,204267.9,-70.00%,1733,30367.8271
FACILITIES SUPPORT EQUIPMENT,FACILITIES SUPPORT EQUIPMENT,Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,-999,None,-999,-999,-999,76459.61,38229.81,-50.00%,1003,3899.44027
"HEATING, COOLING, VENTILATION & A/C EQUIP","HEATING, COOLING, VENTILATION & AC EQUIP",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2014,-999,None,-999,-999,-999,113482.16,34044.65,-70.00%,1733,5061.3044
"MEDICAL, DENTAL, LAB EQUIP, INSTRUMENTS, SUPPLIES","MEDICAL, DENTAL, LAB EQP, INSTRMNTS & SUPPLIES",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2014,-999,None,-999,-999,-999,1000000,300000,-70.00%,1368,44600
ORGANIZATIONAL EQUIPMENT,ORGANIZATIONAL EQUIPMENT,Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,-999,None,-999,-999,-999,76459.61,38229.81,-50.00%,1003,3899.44027
"PERSONAL CLOTHING, GEAR AND EQUIPMENT","PERSONAL CLOTHING, GEAR AND EQUIPMENT",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2014,-999,None,-999,-999,-999,229378.84,114689.42,-50.00%,1003,11698.32084
Maintenance & Repair Shop Equipment,Maintenance & Repair Shop Equipment,Grant Authority,1/1/2015,Defense Logistics Agency (DLA),Morocco,EDA Delivered,10/1/2014,0,0,0,0,0,128683.55,25736.71,-80.00%,92,5327.49897
LAUNCHERS/PYLONS/FUEL TANKS (F-16A),LAUNCHERS/PYLONS/FUEL TANKS (F-16A),Grant Authority,1/1/2011,Air Force,Poland,EDA Delivered,10/1/2014,2,2,2,0,2,105960,105960,0.00%,1369,7099.32
T-37 AIRCRAFT,T-37 AIRCRAFT,Grant Authority,1/1/2010,Air Force,Pakistan,EDA Delivered,10/1/2014,20,20,20,0,20,3297080,989120,-70.00%,1734,147049.64
J69-25/25A ENGINES,J69-25/25A ENGINES,Grant Authority,1/1/2010,Air Force,Pakistan,EDA Delivered,10/1/2014,40,40,40,0,40,2817000,563400,-80.00%,1734,116623.8
"VEHICULAR PARTS, COMPONENTS AND EQUIPMENT",VEHICULAR EQUIPMENT AND COMPONENTS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,10/2/2014,0,0,0,0,0,41456.14,12436.84,-70.00%,1735,1848.94378
"SHOP 8, AN/TSM-178","SHOP 8, AN/TSM-178",Grant Authority,1/1/2012,Army,Egypt,EDA Delivered,10/2/2014,6,6,4,0,4,3408180,170409,-95.00%,1005,124739.388
"TEXTILES, LEATHER, APPAREL AND TENTS","TEXTILES, LEATHER, APPAREL AND TENTS",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Malawi,EDA Delivered,10/4/2014,0,0,0,0,0,400000,200000,-50.00%,641,20400
HOWITZER,HOWITZER,Grant Authority,1/1/2011,Army,Chile,EDA Delivered,10/4/2014,24,24,-999,0,48,22158864,1107943.2,-95.00%,1372,811014.4224
